"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","OWN"
"1","Pittsburgh Steelers (PIT)","52","18","9","12","3","1","0","16","144.0","9.0","93.8%"
"2","Miami Dolphins (MIA)","40","16","10","14","2","0","1","15","140.0","9.3","70.7%"
"3","Indianapolis Colts (IND)","34","15","9","10","4","3","2","15","137.0","9.1","85.2%"
"4","Los Angeles Rams (LAR)","49","13","8","11","3","0","0","15","131.0","8.7","79.5%"
"5","Baltimore Ravens (BAL)","39","8","12","22","3","2","1","15","130.0","8.7","99.0%"
"6","Washington Football Team (WAS)","44","14","6","13","3","1","0","15","117.0","7.8","50.8%"
"7","Tampa Bay Buccaneers (TB)","47","15","8","13","1","1","0","15","112.0","7.5","55.1%"
"8","New Orleans Saints (NO)","42","13","8","6","1","1","0","15","107.0","7.1","76.3%"
"9","Kansas City Chiefs (KC)","29","16","6","11","2","1","2","15","107.0","7.1","60.5%"
"10","Seattle Seahawks (SEA)","43","14","7","11","0","3","0","15","98.0","6.5","62.7%"
"11","Carolina Panthers (CAR)","27","7","15","12","3","0","0","15","98.0","6.5","18.7%"
"12","New England Patriots (NE)","21","16","4","5","2","0","2","15","98.0","6.5","47.0%"
"13","Arizona Cardinals (ARI)","46","10","9","11","0","1","0","15","98.0","6.5","39.4%"
"14","Buffalo Bills (BUF)","37","12","10","13","2","0","0","15","97.0","6.5","83.6%"
"15","Cleveland Browns (CLE)","37","10","10","16","2","2","0","15","94.0","6.3","84.7%"
"16","New York Giants (NYG)","34","10","11","13","2","0","0","15","94.0","6.3","14.6%"
"17","Philadelphia Eagles (PHI)","46","6","11","12","2","1","1","15","93.0","6.2","27.5%"
"18","Chicago Bears (CHI)","34","10","7","13","1","1","1","15","91.0","6.1","77.8%"
"19","Green Bay Packers (GB)","40","10","6","10","2","1","0","15","88.0","5.9","42.5%"
"20","San Francisco 49ers (SF)","28","12","8","10","1","0","0","15","86.0","5.7","51.6%"
"21","Atlanta Falcons (ATL)","28","11","9","17","1","0","0","15","73.0","4.9","2.1%"
"22","Dallas Cowboys (DAL)","29","9","11","13","2","0","1","15","70.0","4.7","18.8%"
"23","Los Angeles Chargers (LAC)","26","12","6","5","2","0","0","15","68.0","4.5","29.3%"
"24","New York Jets (NYJ)","28","10","9","16","1","1","0","15","65.0","4.3","4.2%"
"25","Tennessee Titans (TEN)","15","14","8","11","1","0","1","16","64.0","4.0","26.3%"
"26","Denver Broncos (DEN)","39","8","4","9","0","0","1","15","63.0","4.2","22.1%"
"27","Minnesota Vikings (MIN)","22","14","6","8","0","1","0","15","59.0","3.9","36.9%"
"28","Jacksonville Jaguars (JAC)","18","11","5","8","1","0","2","15","57.0","3.8","0.8%"
"29","Cincinnati Bengals (CIN)","17","10","6","9","0","0","1","15","47.0","3.1","5.0%"
"30","Houston Texans (HOU)","32","3","5","7","1","0","0","15","41.0","2.7","30.9%"
"31","Las Vegas Raiders (LV)","19","10","5","8","0","0","0","15","38.0","2.5","13.4%"
"32","Detroit Lions (DET)","21","7","5","13","0","1","1","15","30.0","2.0","3.3%"
""
""
