"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"1","Jason Sanders (MIA)","34","37","91.9","56","1","8","6","11","8","34","34","15","163.0","10.9","81.1%"
"2","Younghoe Koo (ATL)","35","37","94.6","54","0","8","11","8","8","30","33","14","159.0","11.4","93.9%"
"3","Daniel Carlson (LV)","32","34","94.1","54","0","18","7","3","4","42","44","15","149.0","9.9","62.3%"
"4","Tyler Bass (BUF)","28","34","82.4","58","1","9","6","8","4","49","51","15","149.0","9.9","55.2%"
"5","Rodrigo Blankenship (IND)","30","33","90.9","53","0","8","12","9","1","41","43","15","142.0","9.5","70.4%"
"6","Justin Tucker (BAL)","25","28","89.3","55","0","8","5","9","3","47","48","15","137.0","9.1","97.4%"
"7","Greg Zuerlein (DAL)","30","37","81.1","59","1","5","11","11","2","32","35","15","137.0","9.1","43.2%"
"8","Ryan Succop (TB)","25","28","89.3","50","1","8","8","7","1","47","52","15","131.0","8.7","23.3%"
"9","Harrison Butker (KC)","25","27","92.6","58","2","7","9","3","4","45","51","15","131.0","8.7","95.0%"
"10","Jason Myers (SEA)","22","22","100.0","61","0","2","5","13","2","47","50","15","130.0","8.7","56.5%"
"11","Cairo Santos (CHI)","27","29","93.1","55","0","7","9","9","2","35","36","15","129.0","8.6","8.0%"
"12","Joey Slye (CAR)","29","36","80.6","56","0","11","10","7","1","32","35","15","128.0","8.5","32.4%"
"13","Graham Gano (NYG)","30","31","96.8","55","0","4","13","9","4","19","20","15","126.0","8.4","15.9%"
"14","Wil Lutz (NO)","21","26","80.8","53","0","5","9","6","1","54","54","15","125.0","8.3","83.5%"
"15","Brandon McManus (DEN)","25","28","89.3","58","0","4","3","8","10","22","25","14","125.0","8.9","16.4%"
"16","Nick Folk (NE)","26","28","92.9","51","0","6","7","11","2","26","29","15","119.0","7.9","2.4%"
"17","Stephen Gostkowski (TEN)","18","26","69.2","55","0","2","4","5","7","46","48","15","119.0","7.9","27.7%"
"18","Dustin Hopkins (WAS)","25","32","78.1","51","0","5","7","11","2","28","30","15","118.0","7.9","2.1%"
"19","Michael Badgley (LAC)","24","33","72.7","53","0","8","6","8","2","32","35","15","116.0","7.7","17.3%"
"20","Ka'imi Fairbairn (HOU)","23","27","85.2","54","0","6","9","5","3","35","37","15","115.0","7.7","18.4%"
"21","Mason Crosby (GB)","16","16","100.0","57","1","1","5","5","4","54","58","15","115.0","7.7","39.8%"
"22","Matt Prater (DET)","20","27","74.1","59","0","4","7","4","5","36","38","15","110.0","7.3","52.7%"
"23","Robbie Gould (SF)","19","23","82.6","52","0","3","5","9","2","36","38","15","106.0","7.1","32.3%"
"24","Cody Parkey (CLE)","18","21","85.7","46","0","4","4","10","0","40","44","14","104.0","7.4","3.2%"
"25","Chris Boswell (PIT)","19","20","95.0","59","0","5","6","7","1","34","38","13","100.0","7.7","26.1%"
"26","Randy Bullock (CIN)","21","26","80.8","55","0","3","8","7","3","24","25","12","100.0","8.3","8.4%"
"27","Zane Gonzalez (ARI)","16","22","72.7","56","0","4","2","8","2","38","39","12","98.0","8.2","22.8%"
"28","Dan Bailey (MIN)","14","20","70.0","53","0","5","3","4","2","33","38","15","83.0","5.5","17.5%"
"29","Jake Elliott (PHI)","14","19","73.7","54","0","1","6","5","2","22","24","15","73.0","4.9","14.5%"
"30","Matt Gay (LAR)","11","13","84.6","51","0","0","4","6","1","15","15","6","56.0","9.3","11.2%"
"31","Sam Ficken (NYJ)","13","15","86.7","54","0","5","6","1","1","12","15","9","54.0","6.0","0.3%"
"32","Sam Sloman (TEN)","8","11","72.7","42","0","2","5","1","0","18","21","7","43.0","6.1","1.0%"
"33","Aldrick Rosas (JAC)","8","11","72.7","54","0","3","2","0","3","7","7","5","37.0","7.4","0.6%"
"34","Sergio Castillo (NYJ)","8","13","61.5","55","0","1","3","2","2","6","7","6","36.0","6.0","0.1%"
"35","Mike Nugent (ARI)","7","7","100.0","43","0","1","4","2","0","6","6","3","29.0","9.7","2.5%"
"36","Josh Lambo (JAC)","5","5","100.0","59","0","0","2","1","2","8","10","4","28.0","7.0","0.9%"
"37","Austin Seibert (CIN)","5","8","62.5","48","0","0","4","1","0","8","9","4","24.0","6.0","5.2%"
"38","Chase McLaughlin (NYJ)","4","5","80.0","52","0","1","1","1","1","3","4","3","18.0","6.0","0.7%"
"39","Kai Forbath (LAR)","2","3","66.7","23","0","2","0","0","0","4","5","2","10.0","5.0","1.7%"
"40","Matthew Wright (PIT)","1","1","100.0","37","0","0","1","0","0","6","6","2","9.0","4.5","0.1%"
