"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Alvin Kamara (NO)","187","932","5.0","49","0","16","83","107","756","9.1","5","0","15","336.3","22.4","100.0%"
"2","Dalvin Cook (MIN)","312","1,557","5.0","70","0","16","44","54","361","8.2","1","3","14","315.8","22.6","100.0%"
"3","Derrick Henry (TEN)","344","1,777","5.2","94","0","15","19","31","114","6.0","0","1","15","288.6","19.2","100.0%"
"4","James Robinson (JAC)","240","1,070","4.5","47","0","7","49","60","344","7.0","3","1","14","225.9","16.1","92.2%"
"5","Aaron Jones (GB)","190","1,062","5.6","77","0","8","43","58","312","7.3","2","0","13","218.9","16.8","99.9%"
"6","David Montgomery (CHI)","225","1,001","4.4","80","0","7","45","59","375","8.3","2","1","14","214.1","15.3","98.7%"
"7","Jonathan Taylor (IND)","202","916","4.5","62","0","9","35","38","298","8.5","1","1","14","196.9","14.1","98.5%"
"8","Kareem Hunt (CLE)","188","804","4.3","33","0","6","37","50","300","8.1","5","0","15","194.9","13.0","97.2%"
"9","Josh Jacobs (LV)","258","976","3.8","24","0","10","33","44","238","7.2","0","2","14","193.9","13.9","99.3%"
"10","Ezekiel Elliott (DAL)","230","937","4.1","31","0","5","49","67","319","6.5","2","5","14","184.1","13.2","97.5%"
"11","Nick Chubb (CLE)","176","959","5.4","59","0","11","16","17","150","9.4","0","1","11","182.9","16.6","99.4%"
"12","Mike Davis (CAR)","165","642","3.9","25","0","6","59","70","373","6.3","2","1","15","177.0","11.8","90.4%"
"13","Antonio Gibson (WAS)","151","720","4.8","40","0","11","35","43","241","6.9","0","2","13","175.6","13.5","93.3%"
"14","Kenyan Drake (ARI)","229","919","4.0","69","0","10","22","28","122","5.5","0","1","14","173.1","12.4","96.6%"
"15","Melvin Gordon III (DEN)","189","893","4.7","65","0","8","28","38","141","5.0","1","4","14","163.4","11.7","95.1%"
"16","Chris Carson (SEA)","130","637","4.9","29","0","5","35","44","248","7.1","4","0","11","160.0","14.5","99.1%"
"17","Ronald Jones II (TB)","180","900","5.0","98","0","6","28","42","165","5.9","1","2","13","158.5","12.2","88.1%"
