"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Travis Kelce (KC)","105","145","1,416","13.5","45","0","11","0","0","0","1","15","260.3","17.4","100.0%"
"2","Darren Waller (LV)","98","136","1,079","11.0","38","0","8","0","0","0","1","15","202.9","13.5","100.0%"
"3","Robert Tonyan (GB)","50","57","568","11.4","45","0","10","0","0","0","0","15","141.8","9.5","84.9%"
"4","T.J. Hockenson (DET)","64","98","698","10.9","51","0","6","1","0","0","1","15","137.8","9.2","95.7%"
"5","Mark Andrews (BAL)","54","82","674","12.5","39","0","7","0","0","0","0","13","136.4","10.5","98.8%"
"6","Logan Thomas (WAS)","69","104","633","9.2","30","0","5","3","5","0","0","15","129.4","8.6","74.2%"
"7","Mike Gesicki (MIA)","48","75","656","13.7","70","0","6","0","0","0","0","14","125.6","9.0","70.8%"
"8","Rob Gronkowski (TB)","43","73","594","13.8","48","0","7","0","0","0","0","15","122.9","8.2","91.1%"
"9","Jonnu Smith (TEN)","40","63","440","11.0","63","0","8","2","4","1","0","14","118.4","8.5","57.3%"
"10","Jimmy Graham (CHI)","48","74","451","9.4","30","0","8","0","0","0","0","15","117.1","7.8","30.4%"
"11","Hunter Henry (LAC)","60","93","613","10.2","33","0","4","0","0","0","0","14","115.3","8.2","83.2%"
"12","Eric Ebron (PIT)","56","91","558","10.0","27","0","5","0","0","0","1","15","113.8","7.6","78.8%"
"13","Noah Fant (DEN)","58","87","625","10.8","37","0","3","0","0","0","0","14","111.5","8.0","78.5%"
"14","Hayden Hurst (ATL)","52","81","543","10.4","42","0","5","0","0","0","0","15","110.3","7.4","63.0%"
"15","Evan Engram (NYG)","61","105","637","10.4","53","0","1","6","26","1","1","15","106.8","7.1","81.6%"
"16","Dalton Schultz (DAL)","56","79","545","9.7","28","0","4","0","0","0","1","15","104.5","7.0","23.3%"
"17","Tyler Higbee (LAR)","41","56","480","11.7","44","0","5","1","1","0","0","14","100.6","7.2","49.1%"
"18","Jared Cook (NO)","33","55","461","14.0","46","0","6","0","0","0","1","14","96.6","6.9","62.9%"
"19","Dallas Goedert (PHI)","46","65","524","11.4","41","0","3","0","0","0","0","11","93.4","8.5","78.7%"
"20","George Kittle (SF)","41","54","566","13.8","44","0","2","2","17","0","0","7","90.8","13.0","87.9%"
"21","Irv Smith Jr. (MIN)","28","40","335","12.0","36","0","5","0","0","0","0","12","79.5","6.6","10.6%"
"22","Austin Hooper (CLE)","42","65","398","9.5","36","0","3","0","0","0","0","12","78.8","6.6","59.4%"
"23","Dan Arnold (ARI)","28","42","392","14.0","59","0","4","0","0","0","1","15","75.2","5.0","1.7%"
"24","Trey Burton (IND)","28","47","250","8.9","20","0","3","2","3","2","0","12","69.3","5.8","16.8%"
"25","Gerald Everett (LAR)","39","55","392","10.1","40","0","1","1","2","1","1","15","68.9","4.6","3.7%"
"26","Darren Fells (HOU)","21","28","312","14.9","44","0","4","0","0","0","0","15","65.7","4.4","1.8%"
"27","Mo Alie-Cox (IND)","31","39","394","12.7","45","0","2","0","0","0","1","14","64.9","4.6","1.4%"
"28","Jordan Akins (HOU)","36","47","394","10.9","26","0","1","1","4","0","0","12","63.8","5.3","5.5%"
"29","Tyler Eifert (JAC)","35","58","339","9.7","28","0","2","0","0","0","0","14","63.4","4.5","4.4%"
"30","Anthony Firkser (TEN)","37","51","369","10.0","45","0","1","0","0","0","0","15","61.4","4.1","3.0%"
"31","Jordan Reed (SF)","26","46","231","8.9","26","0","4","0","0","0","0","10","60.1","6.0","14.0%"
"32","Richard Rodgers (PHI)","24","31","345","14.4","33","0","2","0","0","0","0","14","58.5","4.2","2.3%"
"33","Zach Ertz (PHI)","33","66","319","9.7","42","0","1","0","0","0","0","10","56.4","5.6","52.9%"
"34","Drew Sample (CIN)","38","50","334","8.8","23","0","1","0","0","0","1","15","56.4","3.8","1.2%"
"35","Cameron Brate (TB)","27","32","271","10.0","25","0","2","0","0","0","0","15","52.6","3.5","1.0%"
"36","Jacob Hollister (SEA)","24","37","203","8.5","20","0","3","0","0","0","0","15","52.3","3.5","0.7%"
"37","Kyle Rudolph (MIN)","28","37","334","11.9","25","0","1","0","0","0","1","12","51.4","4.3","12.9%"
"38","Dawson Knox (BUF)","22","36","259","11.8","36","0","3","0","0","0","2","11","50.9","4.6","2.2%"
"39","Harrison Bryant (CLE)","24","38","238","9.9","35","0","3","0","0","0","2","15","49.8","3.3","2.3%"
"40","Jack Doyle (IND)","20","30","234","11.7","28","0","3","0","0","0","1","13","49.4","3.8","5.5%"
"41","Will Dissly (SEA)","23","27","231","10.0","28","0","2","0","0","0","0","15","46.6","3.1","1.5%"
"42","Cole Kmet (CHI)","21","36","202","9.6","38","0","2","1","-3","0","0","15","42.4","2.8","11.7%"
"43","Chris Herndon IV (NYJ)","24","37","224","9.3","26","0","2","0","0","0","2","15","42.4","2.8","9.5%"
"44","Durham Smythe (MIA)","23","26","185","8.0","19","0","2","0","0","0","0","14","42.0","3.0","0.1%"
"45","Greg Olsen (SEA)","24","37","239","10.0","22","0","1","0","0","0","0","11","41.9","3.8","6.6%"
"46","David Njoku (CLE)","17","24","200","11.8","28","0","2","0","0","0","0","12","40.5","3.4","1.0%"
"47","James O'Shaughnessy (JAC)","27","37","252","9.3","26","0","0","0","0","0","0","14","38.7","2.8","0.1%"
"48","Ross Dwelley (SF)","17","22","224","13.2","36","0","1","0","0","0","0","14","36.9","2.6","0.7%"
"49","Adam Shaheen (MIA)","11","19","128","11.6","43","0","3","0","0","0","0","15","36.3","2.4","0.2%"
"50","Tyler Kroft (BUF)","12","16","119","9.9","38","0","3","0","0","0","0","9","35.9","4.0","0.3%"
"51","Marcedes Lewis (GB)","9","16","98","10.9","36","0","3","0","0","0","0","13","32.3","2.5","0.1%"
"52","O.J. Howard (TB)","11","19","146","13.3","33","0","2","0","0","0","0","4","32.1","8.0","2.7%"
"53","Jesse James (DET)","13","21","127","9.8","31","0","2","0","0","0","0","15","31.2","2.1","0.1%"
"54","Nick Boyle (BAL)","14","17","113","8.1","21","0","2","0","0","0","0","9","30.3","3.4","0.2%"
"55","Ian Thomas (CAR)","19","28","146","7.7","21","0","1","0","0","0","0","14","30.1","2.2","3.3%"
"56","Adam Trautman (NO)","14","15","166","11.9","41","0","1","0","0","0","0","14","29.6","2.1","0.3%"
"57","Tyler Conklin (MIN)","16","20","154","9.6","30","0","1","0","0","0","0","15","29.4","2.0","0.1%"
"58","Foster Moreau (LV)","6","8","133","22.2","47","0","2","0","0","0","0","15","28.3","1.9","0.1%"
"59","Donald Parham Jr. (LAC)","7","16","122","17.4","26","0","2","0","0","0","0","12","27.7","2.3","0.6%"
