"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Davante Adams (GB)","109","143","1,328","12.2","56","0","17","0","0","0","1","13","287.3","22.1","100.0%"
"2","Tyreek Hill (KC)","87","135","1,276","14.7","75","0","15","13","123","2","0","15","285.4","19.0","100.0%"
"3","Stefon Diggs (BUF)","120","158","1,459","12.2","55","0","8","1","1","0","0","15","254.0","16.9","99.5%"
"4","Calvin Ridley (ATL)","82","131","1,322","16.1","63","0","9","4","7","0","0","14","229.9","16.4","99.4%"
"5","D.K. Metcalf (SEA)","80","120","1,282","16.0","62","0","10","0","0","0","1","15","226.2","15.1","99.4%"
"6","DeAndre Hopkins (ARI)","111","150","1,372","12.4","60","0","6","1","1","0","2","15","224.8","15.0","100.0%"
"7","Justin Jefferson (MIN)","79","113","1,267","16.0","71","0","7","1","2","0","0","15","212.4","14.2","97.4%"
"8","Adam Thielen (MIN)","70","103","868","12.4","51","0","14","3","15","0","0","14","209.3","15.0","99.3%"
"9","Mike Evans (TB)","67","105","960","14.3","50","0","13","0","0","0","0","15","207.5","13.8","99.0%"
"10","Allen Robinson II (CHI)","100","146","1,213","12.1","42","0","6","1","-1","0","0","15","207.2","13.8","99.3%"
"11","Keenan Allen (LAC)","100","147","992","9.9","28","0","8","1","-1","0","2","14","195.1","13.9","97.3%"
"12","Robert Woods (LAR)","86","122","900","10.5","56","0","6","24","155","2","1","15","194.5","13.0","98.1%"
"13","Tyler Lockett (SEA)","88","118","964","11.0","47","0","8","0","0","0","0","15","188.4","12.6","98.9%"
"14","A.J. Brown (TEN)","60","95","924","15.4","73","0","10","0","0","0","1","13","186.4","14.3","99.0%"
"15","Amari Cooper (DAL)","86","121","1,073","12.5","69","0","5","6","14","0","0","15","183.7","12.2","97.2%"
"16","CeeDee Lamb (DAL)","69","104","892","12.9","52","0","5","9","79","1","1","15","173.6","11.6","80.0%"
"17","Robby Anderson (CAR)","92","129","1,057","11.5","75","0","3","4","15","0","1","15","171.2","11.4","93.0%"
"18","JuJu Smith-Schuster (PIT)","91","120","766","8.4","31","0","8","0","0","0","1","15","170.1","11.3","96.3%"
"19","Diontae Johnson (PIT)","85","140","828","9.7","46","0","7","3","15","0","1","14","166.8","11.9","94.7%"
"20","Terry McLaurin (WAS)","80","126","1,078","13.5","68","0","3","2","30","0","1","14","166.8","11.9","96.0%"
"21","Cole Beasley (BUF)","82","107","967","11.8","35","0","4","0","0","0","0","15","166.5","11.1","75.4%"
"22","D.J. Moore (CAR)","61","107","1,092","17.9","74","0","4","2","22","0","0","14","165.9","11.9","95.8%"
"23","Chase Claypool (PIT)","57","98","772","13.5","84","0","8","10","16","2","1","15","165.3","11.0","88.8%"
"24","Cooper Kupp (LAR)","92","124","974","10.6","55","0","3","4","33","0","1","15","162.7","10.8","97.0%"
"25","Will Fuller V (HOU)","53","75","879","16.6","77","0","8","1","0","0","0","11","162.4","14.8","36.7%"
"26","Tee Higgins (CIN)","67","107","908","13.6","67","0","6","5","28","0","1","15","161.1","10.7","70.8%"
"27","Curtis Samuel (CAR)","70","86","733","10.5","44","0","3","38","197","2","0","14","158.0","11.3","64.6%"
"28","Brandin Cooks (HOU)","70","103","984","14.1","57","0","4","0","0","0","0","14","157.4","11.2","89.9%"
"29","Marvin Jones Jr. (DET)","68","104","798","11.7","39","0","7","0","0","0","0","15","155.8","10.4","90.0%"
"30","Nelson Agholor (LV)","47","78","839","17.9","85","0","8","0","0","0","0","15","155.4","10.4","42.4%"
"31","Brandon Aiyuk (SF)","60","96","748","12.5","49","0","5","6","77","2","0","12","154.5","12.9","88.4%"
"32","Corey Davis (TEN)","60","81","945","15.8","75","0","5","0","0","0","1","13","152.5","11.7","83.1%"
"33","Tyler Boyd (CIN)","78","107","840","10.8","72","0","4","4","38","0","0","14","151.4","10.8","80.9%"
"34","Jarvis Landry (CLE)","67","95","789","11.8","32","0","3","3","7","0","0","14","138.1","9.9","88.5%"
"35","Jamison Crowder (NYJ)","55","85","668","12.1","69","0","6","1","14","0","0","11","137.4","12.5","70.3%"
"36","Michael Gallup (DAL)","55","97","794","14.4","55","0","5","0","0","0","0","15","136.9","9.1","44.0%"
