,Pro Team Name,Abbrev
10,Arizona Cardinals,CRD
25,Atlanta Falcons,ATL
16,Baltimore Ravens,RAV
2,Buffalo Bills,BUF
28,Carolina Panthers,CAR
26,Chicago Bears,CHI
6,Cincinnati Bengals,CIN
19,Cleveland Browns,CLE
0,Dallas Cowboys,DAL
22,Denver Broncos,DEN
24,Detroit Lions,DET
9,Green Bay Packers,GNB
29,Houston Texans,HTX
8,Indianapolis Colts,CLT
31,Jacksonville Jaguars,JAX
3,Kansas City Chiefs,KAN
17,Las Vegas Raiders,RAI
4,Los Angeles Chargers,SDG
7,Los Angeles Rams,RAM
21,Miami Dolphins,MIA
13,Minnesota Vikings,MIN
5,New England Patriots,NWE
18,New Orleans Saints,NOR
30,New York Giants,NYG
27,New York Jets,NYJ
11,Philadelphia Eagles,PHI
20,Pittsburgh Steelers,PIT
12,San Francisco 49ers,SFO
15,Seattle Seahawks,SEA
1,Tampa Bay Buccaneers,TAM
14,Tennessee Titans,OTI
23,Washington Football Team,WAS
