Player name,Rank,Player,FPTS,Positional Rank,Team name,Owner,Draft order,Name-Team-Pos,$,Position
Alvin Kamara,1.0,Alvin Kamara (NO),336.3,RB-1.0,NO,2 Many Cooks 2 Many,9,"Alvin Kamara NO, RB",72,RB
Dalvin Cook,2.0,Dalvin Cook (MIN),315.8,RB-2.0,MIN,2 Many Cooks 2 Many,7,"Dalvin Cook Min, RB",79,RB
Derrick Henry,3.0,Derrick Henry (TEN),288.6,RB-3.0,TEN,Cookin Russells,13,"Derrick Henry Ten, RB",70,RB
Davante Adams,1.0,Davante Adams (GB),287.3,WR-1.0,GB,Danica Gave Me A Higbee,27,"Davante Adams GB, WR",54,WR
Tyreek Hill,2.0,Tyreek Hill (KC),285.4,WR-2.0,KC,Sweetless In Seattle,14,"Tyreek Hill KC, WR",52,WR
Travis Kelce,1.0,Travis Kelce (KC),260.3,TE-1.0,KC,Ice City USA,21,"Travis Kelce KC, TE",44,TE
Stefon Diggs,3.0,Stefon Diggs (BUF),254.0,WR-3.0,BUF,Wolf Pussy,74,"Stefon Diggs Buf, WR",6,WR
Calvin Ridley,4.0,Calvin Ridley (ATL),229.9,WR-4.0,ATL,Tier 2 Never Felt So Good,45,"Calvin Ridley Atl, WR",25,WR
DeAndre Hopkins,6.0,DeAndre Hopkins (ARI),224.8,WR-6.0,ARI,Sweetless In Seattle,2,"DeAndre Hopkins Ari, WR",56,WR
Aaron Jones,5.0,Aaron Jones (GB),218.9,RB-5.0,GB,Favre's Wranglers,10,"Aaron Jones GB, RB",58,RB
David Montgomery,6.0,David Montgomery (CHI),214.1,RB-6.0,CHI,Cookin Russells,71,"David Montgomery Chi, RB",6,RB
Adam Thielen,8.0,Adam Thielen (MIN),209.3,WR-8.0,MIN,Cookin Russells,34,"Adam Thielen Min, WR",35,WR
Mike Evans,9.0,Mike Evans (TB),207.5,WR-9.0,TB,Favre's Wranglers,31,"Mike Evans TB, WR",43,WR
Allen Robinson II,10.0,Allen Robinson II (CHI),207.2,WR-10.0,CHI,Danica Gave Me A Higbee,37,"Allen Robinson II Chi, WR",21,WR
Darren Waller,2.0,Darren Waller (LV),202.9,TE-2.0,LV,Just Joshin,57,"Darren Waller LV, TE",6,TE
Jonathan Taylor,7.0,Jonathan Taylor (IND),196.9,RB-7.0,IND,Ice City USA,56,"Jonathan Taylor Ind, RB",20,RB
Keenan Allen,11.0,Keenan Allen (LAC),195.1,WR-11.0,LAC,Tier 2 Never Felt So Good,54,"Keenan Allen LAC, WR",19,WR
Kareem Hunt,8.0,Kareem Hunt (CLE),194.9,RB-8.0,CLE,Just Joshin,50,"Kareem Hunt Cle, RB",17,RB
Robert Woods,12.0,Robert Woods (LAR),194.5,WR-12.0,LAR,Just Joshin,49,"Robert Woods LAR, WR",10,WR
Josh Jacobs,9.0,Josh Jacobs (LV),193.9,RB-9.0,LV,Just Joshin,20,"Josh Jacobs LV, RB",61,RB
Tyler Lockett,13.0,Tyler Lockett (SEA),188.4,WR-13.0,SEA,Tier 2 Never Felt So Good,40,"Tyler Lockett Sea, WR",24,WR
A.J. Brown,14.0,A.J. Brown (TEN),186.4,WR-14.0,TEN,Ice City USA,47,"A.J. Brown Ten, WR",17,WR
Ezekiel Elliott,10.0,Ezekiel Elliott (DAL),184.1,RB-10.0,DAL,Ice City USA,1,"Ezekiel Elliott Dal, RB",78,RB
Amari Cooper,15.0,Amari Cooper (DAL),183.7,WR-15.0,DAL,Cookin Russells,36,"Amari Cooper Dal, WR",23,WR
Nick Chubb,11.0,Nick Chubb (CLE),182.9,RB-11.0,CLE,Favre's Wranglers,6,"Nick Chubb Cle, RB",54,RB
Antonio Gibson,13.0,Antonio Gibson (WAS),175.6,RB-13.0,WAS,Favre's Wranglers,67,"Antonio Gibson Wsh, RB",3,RB
CeeDee Lamb,16.0,CeeDee Lamb (DAL),173.6,WR-16.0,DAL,Ice City USA,110,"CeeDee Lamb Dal, WR",1,WR
Kenyan Drake,14.0,Kenyan Drake (ARI),173.1,RB-14.0,ARI,Wolf Pussy,19,"Kenyan Drake Ari, RB",65,RB
Robby Anderson,17.0,Robby Anderson (CAR),171.2,WR-17.0,CAR,Ice City USA,128,"Robby Anderson Car, WR",1,WR
JuJu Smith-Schuster,18.0,JuJu Smith-Schuster (PIT),170.1,WR-18.0,PIT,2 Many Cooks 2 Many,24,"JuJu Smith-Schuster Pit, WR",37,WR
Diontae Johnson,19.0,Diontae Johnson (PIT),166.8,WR-19.0,PIT,Fumble .,116,"Diontae Johnson Pit, WR",2,WR
Terry McLaurin,20.0,Terry McLaurin (WAS),166.8,WR-20.0,WAS,Wolf Pussy,44,"Terry McLaurin Wsh, WR",23,WR
Melvin Gordon III,15.0,Melvin Gordon III (DEN),163.4,RB-15.0,DEN,Cookin Russells,55,"Melvin Gordon III Den, RB",14,RB
Cooper Kupp,24.0,Cooper Kupp (LAR),162.7,WR-24.0,LAR,Just Joshin,28,"Cooper Kupp LAR, WR",30,WR
Will Fuller V,25.0,Will Fuller V (HOU),162.4,WR-25.0,HOU,Sweetless In Seattle,95,"Will Fuller V Hou, WR",3,WR
Chris Carson,16.0,Chris Carson (SEA),160.0,RB-16.0,SEA,Tier 2 Never Felt So Good,18,"Chris Carson Sea, RB",27,RB
Ronald Jones II,17.0,Ronald Jones II (TB),158.5,RB-17.0,TB,Wolf Pussy,84,"Ronald Jones II TB, RB",3,RB
Clyde Edwards-Helaire,18.0,Clyde Edwards-Helaire (KC),158.0,RB-18.0,KC,Sweetless In Seattle,8,"Clyde Edwards-Helaire KC, RB",70,RB
Curtis Samuel,27.0,Curtis Samuel (CAR),158.0,WR-27.0,CAR,2 Many Cooks 2 Many,152,"Curtis Samuel Car, WR",1,WR
Brandin Cooks,28.0,Brandin Cooks (HOU),157.4,WR-28.0,HOU,Ice City USA,113,"Brandin Cooks Hou, WR",2,WR
Miles Sanders,19.0,Miles Sanders (PHI),156.4,RB-19.0,PHI,Wolf Pussy,4,"Miles Sanders Phi, RB",65,RB
Marvin Jones Jr.,29.0,Marvin Jones Jr. (DET),155.8,WR-29.0,DET,Let Me Be Frankel,60,"Marvin Jones Jr. Det, WR",6,WR
