Player,FPTS,Positional Rank,Owner,Draft order,$,Position
Alvin Kamara (NO),336.3,RB-1.0,2 Many Cooks 2 Many,9,72,RB
Dalvin Cook (MIN),315.8,RB-2.0,2 Many Cooks 2 Many,7,79,RB
Derrick Henry (TEN),288.6,RB-3.0,Cookin Russells,13,70,RB
Davante Adams (GB),287.3,WR-1.0,Danica Gave Me A Higbee,27,54,WR
Tyreek Hill (KC),285.4,WR-2.0,Sweetless In Seattle,14,52,WR
Travis Kelce (KC),260.3,TE-1.0,Ice City USA,21,44,TE
Stefon Diggs (BUF),254.0,WR-3.0,Wolf Pussy,74,6,WR
Calvin Ridley (ATL),229.9,WR-4.0,Tier 2 Never Felt So Good,45,25,WR
D.K. Metcalf (SEA),226.2,WR-5.0,Dak's Butt Kickers,17,15,WR
DeAndre Hopkins (ARI),224.8,WR-6.0,Sweetless In Seattle,2,56,WR
Aaron Jones (GB),218.9,RB-5.0,Favre's Wranglers,10,58,RB
David Montgomery (CHI),214.1,RB-6.0,Cookin Russells,71,6,RB
Adam Thielen (MIN),209.3,WR-8.0,Cookin Russells,34,35,WR
Mike Evans (TB),207.5,WR-9.0,Favre's Wranglers,31,43,WR
Allen Robinson II (CHI),207.2,WR-10.0,Danica Gave Me A Higbee,37,21,WR
Darren Waller (LV),202.9,TE-2.0,Just Joshin,57,6,TE
Jonathan Taylor (IND),196.9,RB-7.0,Ice City USA,56,20,RB
Keenan Allen (LAC),195.1,WR-11.0,Tier 2 Never Felt So Good,54,19,WR
Kareem Hunt (CLE),194.9,RB-8.0,Just Joshin,50,17,RB
Robert Woods (LAR),194.5,WR-12.0,Just Joshin,49,10,WR
Josh Jacobs (LV),193.9,RB-9.0,Just Joshin,20,61,RB
Tyler Lockett (SEA),188.4,WR-13.0,Tier 2 Never Felt So Good,40,24,WR
A.J. Brown (TEN),186.4,WR-14.0,Ice City USA,47,17,WR
Ezekiel Elliott (DAL),184.1,RB-10.0,Ice City USA,1,78,RB
Amari Cooper (DAL),183.7,WR-15.0,Cookin Russells,36,23,WR
Nick Chubb (CLE),182.9,RB-11.0,Favre's Wranglers,6,54,RB
Antonio Gibson (WAS),175.6,RB-13.0,Favre's Wranglers,67,3,RB
CeeDee Lamb (DAL),173.6,WR-16.0,Ice City USA,110,1,WR
Kenyan Drake (ARI),173.1,RB-14.0,Wolf Pussy,19,65,RB
Robby Anderson (CAR),171.2,WR-17.0,Ice City USA,128,1,WR
JuJu Smith-Schuster (PIT),170.1,WR-18.0,2 Many Cooks 2 Many,24,37,WR
Terry McLaurin (WAS),166.8,WR-20.0,Wolf Pussy,44,23,WR
Diontae Johnson (PIT),166.8,WR-19.0,Fumble .,116,2,WR
D.J. Moore (CAR),165.9,WR-22.0,Favre's Wranglers,35,34,WR
Melvin Gordon III (DEN),163.4,RB-15.0,Cookin Russells,55,14,RB
Cooper Kupp (LAR),162.7,WR-24.0,Just Joshin,28,30,WR
Will Fuller V (HOU),162.4,WR-25.0,Sweetless In Seattle,95,3,WR
Chris Carson (SEA),160.0,RB-16.0,Tier 2 Never Felt So Good,18,27,RB
Ronald Jones II (TB),158.5,RB-17.0,Wolf Pussy,84,3,RB
Clyde Edwards-Helaire (KC),158.0,RB-18.0,Sweetless In Seattle,8,70,RB
Curtis Samuel (CAR),158.0,WR-27.0,2 Many Cooks 2 Many,152,1,WR
Brandin Cooks (HOU),157.4,WR-28.0,Ice City USA,113,2,WR
Miles Sanders (PHI),156.4,RB-19.0,Wolf Pussy,4,65,RB
Marvin Jones Jr. (DET),155.8,WR-29.0,Let Me Be Frankel,60,6,WR
D'Andre Swift (DET),152.3,RB-21.0,Dak's Butt Kickers,61,9,RB
Tyler Boyd (CIN),151.4,WR-33.0,Wolf Pussy,80,10,WR
Todd Gurley II (ATL),146.7,RB-22.0,Tier 2 Never Felt So Good,52,16,RB
David Johnson (HOU),143.5,RB-24.0,Tier 2 Never Felt So Good,32,24,RB
James Conner (PIT),138.3,RB-25.0,Tier 2 Never Felt So Good,51,16,RB
Jarvis Landry (CLE),138.1,WR-34.0,Just Joshin,53,7,WR
T.J. Hockenson (DET),137.8,TE-4.0,Fumble .,118,1,TE
Jamison Crowder (NYJ),137.4,WR-35.0,2 Many Cooks 2 Many,124,1,WR
Michael Gallup (DAL),136.9,WR-36.0,Fumble .,72,6,WR
Mark Andrews (BAL),136.4,TE-5.0,Tier 2 Never Felt So Good,39,17,TE
Marquise Brown (BAL),135.4,WR-37.0,Dak's Butt Kickers,76,10,WR
J.K. Dobbins (BAL),131.5,RB-28.0,Dak's Butt Kickers,94,9,RB
Chris Godwin (TB),130.7,WR-38.0,Just Joshin,29,45,WR
