Player,FPTS,Positional Rank,Owner,Draft order,$,Position,Value
CeeDee Lamb (DAL),173.6,WR-16.0,Ice City USA,110,1,WR,173.6
Robby Anderson (CAR),171.2,WR-17.0,Ice City USA,128,1,WR,171.2
Curtis Samuel (CAR),158.0,WR-27.0,2 Many Cooks 2 Many,152,1,WR,158.0
T.J. Hockenson (DET),137.8,TE-4.0,Fumble .,118,1,TE,137.8
Jamison Crowder (NYJ),137.4,WR-35.0,2 Many Cooks 2 Many,124,1,WR,137.4
Emmanuel Sanders (NO),117.5,WR-47.0,Sweetless In Seattle,127,1,WR,117.5
Hunter Henry (LAC),115.3,TE-11.0,Favre's Wranglers,121,1,TE,115.3
Darius Slayton (NYG),112.8,WR-48.0,Favre's Wranglers,136,1,WR,112.8
Noah Fant (DEN),111.5,TE-13.0,2 Many Cooks 2 Many,150,1,TE,111.5
Hayden Hurst (ATL),110.3,TE-14.0,Sweetless In Seattle,99,1,TE,110.3
Mike Williams (LAC),109.9,WR-49.0,Favre's Wranglers,149,1,WR,109.9
Adrian Peterson (DET),106.2,RB-40.0,Just Joshin,114,1,RB,106.2
Mecole Hardman (KC),106.1,WR-54.0,Favre's Wranglers,151,1,WR,106.1
Jared Cook (NO),96.6,TE-18.0,2 Many Cooks 2 Many,131,1,TE,96.6
Damien Harris (NE),88.8,RB-48.0,Sweetless In Seattle,119,1,RB,88.8
Diontae Johnson (PIT),166.8,WR-19.0,Fumble .,116,2,WR,83.4
James White (NE),81.0,RB-51.0,Let Me Be Frankel,107,1,RB,81.0
Brandin Cooks (HOU),157.4,WR-28.0,Ice City USA,113,2,WR,78.7
Breshad Perriman (NYJ),74.2,WR-81.0,2 Many Cooks 2 Many,145,1,WR,74.2
Duke Johnson Jr. (HOU),70.4,RB-56.0,Fumble .,126,1,RB,70.4
Golden Tate (NYG),69.0,WR-87.0,Let Me Be Frankel,132,1,WR,69.0
Henry Ruggs III (LV),67.8,WR-88.0,Ice City USA,88,1,WR,67.8
Preston Williams (MIA),65.8,WR-89.0,Favre's Wranglers,129,1,WR,65.8
Rob Gronkowski (TB),122.9,TE-8.0,Dak's Butt Kickers,92,2,TE,61.45
Christian Kirk (ARI),122.4,WR-44.0,Danica Gave Me A Higbee,125,2,WR,61.2
Antonio Gibson (WAS),175.6,RB-13.0,Favre's Wranglers,67,3,RB,58.53333333333333
N'Keal Harry (NE),54.7,WR-101.0,Danica Gave Me A Higbee,130,1,WR,54.7
Will Fuller V (HOU),162.4,WR-25.0,Sweetless In Seattle,95,3,WR,54.13333333333333
