,Pro Team Name,Abbrev_sportsipy,Abbrev
5,Arizona Cardinals,CRD,ARI
26,Atlanta Falcons,ATL,ATL
15,Baltimore Ravens,RAV,BAL
7,Buffalo Bills,BUF,BUF
24,Carolina Panthers,CAR,CAR
29,Chicago Bears,CHI,CHI
9,Cincinnati Bengals,CIN,CIN
20,Cleveland Browns,CLE,CLE
2,Dallas Cowboys,DAL,DAL
23,Denver Broncos,DEN,DEN
28,Detroit Lions,DET,DET
14,Green Bay Packers,GNB,GB
31,Houston Texans,HTX,HOU
1,Indianapolis Colts,CLT,IND
30,Jacksonville Jaguars,JAX,JAX
13,Kansas City Chiefs,KAN,KC
16,Las Vegas Raiders,RAI,OAK
10,Los Angeles Chargers,SDG,LAC
8,Los Angeles Rams,RAM,LAR
19,Miami Dolphins,MIA,MIA
4,Minnesota Vikings,MIN,MIN
3,New England Patriots,NWE,NE
17,New Orleans Saints,NOR,NO
27,New York Giants,NYG,NYG
25,New York Jets,NYJ,NYJ
6,Philadelphia Eagles,PHI,PHI
18,Pittsburgh Steelers,PIT,PIT
12,San Francisco 49ers,SFO,SF
22,Seattle Seahawks,SEA,SEA
0,Tampa Bay Buccaneers,TAM,TB
11,Tennessee Titans,OTI,TEN
21,Washington Football Team,WAS,WSH
